,name,app_desc
0,PAC-MAN,"One of the most popular video games in arcade history!
2015 World Video Game Hall of Fame Inductee

Who can forget the countless hours and quarters spent outrunning pesky ghosts and chompin’ on dots? Now you can have the same arcade excitement on your mobile devices! 
Guide PAC-MAN through the mazes with easy swipe controls, a MFi controller, or kick it old school with the onscreen joystick!
Eat all of the dots to advance to the next stage. Go for high scores and higher levels! Gain an extra life at 10.000 points! Gobble Power Pellets to weaken ghosts temporarily and eat them up before they change back. Avoid Blinky, the leader of the ghosts, and his fellow ghosts Pinky, Inky, and Clyde, or you will lose a life. It’s game over when you lose all your lives.

NEW MAZES!!!
In addition to the pixel for pixel recreation of the classic original maze, the game is packed with new different mazes. Challenge your skill to beat them all! We are constantly updating the game with new maze packs that you can buy to complete your PAC-MAN collection.

HINTS and TIPS!!!
Insider pro-tips and hints are being made available for the first time in-game! Use these to help you become a PAC-MAN champion!

FEATURES:
• New tournaments
• New Visual Hints and Pro-tips
• New mazes for all new challenges
• Play an arcade perfect port of classic PAC-MAN
• Two different control modes
• Three game difficulties (including the original 1980 arcade game)
• Retina display support
• MFi controller support"
1,Citi Mobile®,"The Citi Mobile® App keeps you in control, virtually anytime, anywhere.  Gain access to features designed with you in mind like resetting your debit card PIN or locking a misplaced credit card. From everyday account activities to helping you track spend, the app is there for you. 
•   Quickly access your accounts with Touch ID™
•   See key info about your accounts at a glance, without having to sign in with Citi Mobile® Snapshot
•   View your statements
•   Check your balances and recent activity
•   Make payments and transfers
•   Transaction search and filter options
•   Customize notifications
•   Available with Apple Watch™! Download today. 

CITI® CARDS
•   Activate new credit cards from your iPhone®
•   Credit card customers can view their FICO® Score for free
•   Lock and unlock your credit card with Citi® Quick Lock
•   Request for a new card in the event it is lost, stolen or damaged 
•   View credit card charges flagged as recurring by merchants
•   Utilize dispute center to view and manage recent credit card disputes

CITIBANK
•   Reset your debit card PIN from your mobile device
•   Mobile check deposit
•   ATM & branch locator"
2,DIRECTV,"It’s your TV. Take it with you. Download the DIRECTV app, a companion to your DIRECTV service, and enjoy a world of entertainment. Watch Live TV and recorded shows, catch up on the latest movies and shows with On Demand, and schedule recordings on your DVR—no additional equipment needed, at no extra cost. Plus now stream DIRECTV data-free on AT&T.

**WATCH**
• Watch thousands of your favorite movies and shows, Live or On Demand
• Data Free TV lets you stream DIRECTV on your devices, anywhere—without using your data 
(Requires eligible DIRECTV & AT&T data services. Excl. & restr. apply. Content varies and must be streamed through the DIRECTV App. Use subject to wireless service terms including those related to data speed. Streaming may not work at reduced speeds.)  
• Stream or download your home DVR recordings to your devices! 
• Enjoy the latest releases from premium channels!
• Switch screens! Watch your favorite show on one device then tap a button to send it to the big screen!

**RECORD**
• Record your favorite movies and shows from anywhere!
• Content running long? Add extra time to your recording and don’t miss a second of your favorite content.

**CONTROL**
• See what’s playing on your TV, control playback, set your DVR, and more with the DIRECTV remote widget*
• Have an Apple Watch? Use it to control your TV! 

**IMPORTANT TIP**
Before using your iOS Widget or Apple Watch, make sure your receiver is set up properly. Go to your receiver’s MENU, select Settings & Help > Settings > Whole-Home > External Device. Make sure “External Access,” “Current Program” and “Recordings” are set to Allow and “Recently Watched” is set to Share.

**REQUIREMENTS**
• iPhone® 4S or later, iPod touch® 5th generation running iOS 9+
• DIRECTV customers must have a residential home account registered on DIRECTV’s website to access DIRECTV for iPhone
•Core app functionality requires use of your location data and Public IP address
• Watching select Live TV Streaming channels outside the home requires an active Wi-Fi or mobile network connection. For best performance, connect to a strong Wi-Fi signal
• Available content is based on your current programming package and premium service. Not all content is available to stream at this time
• Live TV Streaming in-home only channels and remote control requires a Wi-Fi connection to your home network and a DIRECTV Plus® HD DVR (models R22, and HR20 or higher) connected to a broadband Internet connection. Remote control also works with HD receivers (models H21, H23 or higher) connected to a broadband Internet connection
• DVR streaming and downloading requires Internet-connected Genie HD DVR model HR44 or higher and compatible mobile device. To download, must be in-home on same Wi-Fi network connected to DVR
• Data Free TV requires residential DIRECTV service and active AT&T postpaid data service on eligible device. App download, advertisements and non-streaming app activity may incur data usage
• Scheduling a recording requires a Wi-Fi, or mobile network connection and a DIRECTV Plus® DVR or HD DVR
• Receivers do not require phone or Internet connection to schedule a recording
In rare instances, scheduled recording(s) may not be recognized. Only available on certain receivers.

For complete details on technical requirements, please visit:  https://support.directv.com/app/answers/detail/a_id/3426

For more information on the DIRECTV App, please visit: http://directv.com/appfaq 

This DIRECTV App features Nielsen’s proprietary measurement software which allows you to contribute to market research, like Nielsen’s TV Ratings. Please see the Nielsen Digital Measurement Privacy Policy at http://www.nielsen.com/digitalprivacy for more information.

Use of the DIRECTV App by DIRECTV customers is subject to the DIRECTV Apps End User License Agreement and DIRECTV App Privacy Policy, both of which can be found at http://www.directv.com/DTVAPP/content/support/agreements_policies."
3,Wells Fargo Mobile,"Touch ID® is now available to customers with iOS9 or higher.  To sign up to use Touch ID® - look under Menu / Settings/ Sign On with Touch ID. This feature will allow you to quickly access your accounts instead of typing your username and password.
• Easy access to your FICO® Credit Score (for customers with an eligible credit card account)
• Completely redesigned Wells Fargo Advisors experience to be simpler and easier to use

Take your bank with you so you can securely manage your money 24/7 from almost anywhere. Our award-winning Wells Fargo Mobile® App is free² for Wells Fargo customers and Wells Fargo Advisors clients and offers:
• Easy sign-on using your existing Wells Fargo Online® username and password
• Exceptional security features, including our Online Security Guarantee
• An option to set your language preference to Spanish³

Manage your money
• View account balances, including your available balance and pending deposits
• Deposit checks quickly using your iPhone’s camera 
• Help avoid fees and get notified of suspicious activity with text or email alerts 
• View your credit card transactions and manage your rewards program
•  Find one of our approximately 12,800 ATMs or 6,200 retail banking stores nationwide
• Access money management tools, including My Spending Report 
• Wells Fargo FastLook lets you see account balances without signing on to the app 

Make transfers and payments
• Make transfers between your accounts at Wells Fargo as well as at other Financial Institutions
• Pay your bills quickly and easily with Bill Pay
• Send money to just about anyone with a U.S. bank account without sharing account numbers. All you need is a mobile number or email address.

Track investments
• Streamlined Navigation:  An improved way to find account and investment resources
• Brokerage Account Overview: A consolidated view of all of your accounts, all in one place
• Portfolio Page: Simplified page highlights key data and holdings details

Your security is our priority
• Mobile data transmissions are safeguarded by 128-bit SSL (Secure Socket Layer) to prevent unauthorized access
• Our Online Security Guarantee gives you added protection against unauthorized account access
• We never transmit your account number (your accounts are referred to only by nicknames), and account information is not stored on your phone
__________________________________________________________________________________
2. Your mobile carrier's message and data rates may apply.
3. The Wells Fargo Mobile® App may not be available in Spanish to all Wells Fargo customers.

DEPOSIT PRODUCTS OFFERED BY WELLS FARGO BANK, N.A. MEMBER FDIC.

INVESTMENT AND INSURANCE PRODUCTS: NOT INSURED BY FDIC | NO BANK GUARANTEE | MAY LOSE VALUE

Wells Fargo Advisors is the trade name used by 2 separate registered broker-dealers: Wells Fargo Advisors, LLC, and Wells Fargo Advisors Financial Network, LLC, Members SIPC, nonbank affiliates of Wells Fargo & Company. WellsTrade® accounts are available through Wells Fargo Advisors, LLC.
**Minimum system requirements: iOS 8 and higher are supported."
4,Best Buy,"Get everything Best Buy has to offer – wherever, whenever. Find stores, find deals, find reviews, find the lowest prices on the hottest tech.
 
The Best Buy app lets you:
Browse our massive product catalog
Locate any of our 1,400+ stores
View My Best Buy points and redeem certificates
Check order status and view past purchases
Create a wish list or wedding registry
Shop the weekly ad, Deal of the Day and featured offers
Search in-store clearance and open-box items by store
Check gift card balances
Check phone upgrade eligibility
Find trade-in values for your old electronics

Continued use of GPS running in the background can dramatically decrease battery life."
5,Sky News,"Sky News - First for Breaking News

The Sky News app has been refreshed to bring you a brand new look and feel, better performance and a richer experience when viewing our content.

Key Features:
• Receive notifications of breaking news 
• Watch Sky News live from anywhere in the UK
• View all the latest Top Stories or browse content by section
• Read in-depth content written by Sky News correspondents 
• View the very best Sky News videos over WiFi and mobile network
• View image galleries in the app 
• Share stories on social media
• Continue reading stories offline

Please note: Watching video may incur additional mobile network and/or WiFi charges."
6,Mad Libs,"The world’s greatest word game is back with an all-new look! Fill in the blanks and be the funniest person in the room!

FEATURES
•	 21 free Mad Libs stories with new free content added all the time
•	 New swipe gestures make creating stories faster and easier
•	 Interactive hints provide inspiration and speed your play along
•	 Save your stories and share with friends
•	 Earn stickers and badges every time you play
•	 Brand-new Game Center rewards
•	 Replay stories as many times as you want
•	 Play solo or with friends and family
•	 Bright, engaging color palette and all-new typography
•	 Custom illustrations for every book
•	 Explore optional in-app purchases for loads more stories
•	 Kid-friendly interface
•	 No 3rd party advertising

AWESOME NEW LOOK
Bright, fun, and more engaging—it’s an even cooler Mad Libs app experience.

MAD LIBS MUSIC?!
For the very first time, an original soundtrack and audio effects.

CREATE, LAUGH, AND LEARN
This game makes you seriously smart—you’ll learn how to make great, fun, smart word choices!


**To restore your previously purchased books from older versions of the Mad Libs app, please visit the menu and click Restore Purchases, located under Game Center.**

Please note that this app requires iOS 7.0 or higher

For support, please contact: madlibsappsupport@us.penguingroup.com"
7,Dropbox,"Dropbox is the place for your photos, docs, videos, and other files. Files you keep in Dropbox are safely backed up and you can get to them from all your devices. It’s easy to send large files to anyone, even if they don’t have a Dropbox account.

Features:
	•	Access your files on any device, even if you’re offline
	•	Create and edit Microsoft Office files from your iPhone or iPad
	•	Share links to your largest files without using email attachments

We offer in-app purchases for Dropbox Pro, which includes 1 TB of storage and additional features. The amount will be charged to your iTunes account and will vary by plan and country. You’ll see the total price before completing payment.
Dropbox Pro subscriptions purchased in-app renew monthly or yearly depending on your plan. Plans are priced at $9.99USD monthly and $99.99USD yearly (pricing may vary in countries other than the U.S.). To avoid renewal, you must turn off auto-renew at least 24 hours before your subscription ends. You can turn off auto-renew at any time from your iTunes account settings. Dropbox also offers one-month trials for monthly subscriptions.

Terms of Service: https://www.dropbox.com/pricing_terms
Privacy Policy: https://www.dropbox.com/privacy"
8,Starbucks,"The Starbucks® app is a convenient way to pay in store or skip the line and order ahead. Rewards are built right in, so you’ll collect Stars and start earning free drinks and food with every purchase.

Pay in store
Save time and earn Rewards when you pay with the Starbucks® app at many stores in the U.S.

Mobile Order & Pay
Customize and place your order, and pick up from a nearby store without waiting in line.

Rewards
Track your Stars and redeem Rewards for a free food or drink of your choosing. Receive custom offers as a Starbucks Rewards™ member.

Send a gift
Say thanks with a digital Starbucks Card. It’s easy to redeem a gift from email or in the Starbucks® app.

Manage cards
Check your Starbucks Card balance, add money, view past purchases and transfer balances between cards.

Find a store
See stores near you, get directions, hours and view store amenities before you make the trip.

Music 
Discover what songs are playing at your local store.

Tip your barista 
Leave a tip on purchases made with the app at many stores in the U.S."
9,NBA,"The official app of the NBA Playoffs!

• Check the Bracket and Series hubs to keep up to date with each matchup
• See schedules to check live scores, game times, and in-game stats.
• Customize your experience by following your favorite teams and players.
• Stay up-to-date with the latest NBA news and top stories.
• Watch top plays from around the league with video highlights and recaps.
• Follow league standings for the whole NBA.
• Listen to Live games with NBA LEAGUE PASS AUDIO.
• CarPlay support."
